1425067392.24,WeMo5,0
1425067392.27,WeMo4,25640
1425067392.34,WeMo6,360
1425067392.47,WeMo1,159335
1425067392.58,WeMo3,0
1425067392.65,WeMo5,0
1425067392.67,WeMo4,25625
1425067392.7,WeMo6,360
1425067392.74,WeMo1,159335
1425067392.77,WeMo3,0
1425067392.79,WeMo5,0
1425067392.8,WeMo4,25625
1425067392.83,WeMo6,360
1425067392.85,WeMo1,159335
1425067392.9,WeMo3,0
1425067392.96,WeMo5,0
1425067393.0,WeMo4,25625
1425067393.03,WeMo6,360
1425067393.06,WeMo1,159500
1425067393.09,WeMo3,0
1425067393.11,WeMo5,0
1425067393.13,WeMo4,25625
1425067393.15,WeMo6,360
1425067393.18,WeMo1,159500
1425067393.21,WeMo3,0
1425067393.23,WeMo5,0
1425067393.25,WeMo4,25625
1425067393.28,WeMo6,360
1425067393.29,WeMo1,159500
1425067393.31,WeMo3,0
1425067393.35,WeMo5,0
1425067393.37,WeMo4,25625
1425067393.38,WeMo6,360
1425067393.4,WeMo1,159500
1425067393.42,WeMo3,0
1425067393.44,WeMo5,0
1425067393.46,WeMo4,25610
1425067393.48,WeMo6,360
1425067393.49,WeMo1,159500
1425067393.51,WeMo3,0
1425067393.53,WeMo5,0
1425067393.55,WeMo4,25610
1425067393.56,WeMo6,360
1425067393.58,WeMo1,159500
1425067393.6,WeMo3,0
1425067393.62,WeMo5,0
1425067393.64,WeMo4,25610
1425067393.67,WeMo6,350
1425067393.93,WeMo1,159500
1425067394.35,WeMo3,0
1425067394.37,WeMo5,0
1425067394.39,WeMo4,25610
1425067394.42,WeMo6,350
1425067394.44,WeMo1,159245
1425067394.47,WeMo3,0
1425067394.49,WeMo5,0
1425067394.5,WeMo4,25655
1425067394.52,WeMo6,350
1425067394.55,WeMo1,159245
1425067394.59,WeMo3,0
1425067394.61,WeMo5,0
1425067394.62,WeMo4,25655
1425067394.64,WeMo6,350
1425067394.74,WeMo1,159245
1425067394.77,WeMo3,0
1425067394.79,WeMo5,0
1425067394.81,WeMo4,25655
1425067394.83,WeMo6,330
1425067394.85,WeMo1,159245
1425067394.89,WeMo3,0
1425067394.91,WeMo5,0
1425067394.92,WeMo4,25655
1425067394.94,WeMo6,330
1425067394.96,WeMo1,159090
